customerid,last_purchase_date,frequency,monetary,recency_days
18273,2011-12-07 13:16:00,3,204.00,24
18274,2011-11-09 17:03:00,1,175.92,52
18276,2011-10-27 10:54:00,1,335.86,65
18277,2011-10-12 15:22:00,1,110.38,80
18278,2011-09-27 11:58:00,1,173.90,95
18280,2011-03-07 09:52:00,1,180.60,299
18281,2011-06-12 10:53:00,1,80.82,202
18282,2011-12-02 11:43:00,2,178.05,29
18283,2011-12-06 12:02:00,16,1991.89,25
18287,2011-10-28 09:29:00,3,1690.88,64
,2011-12-09 10:26:00,1428,1755276.64,22
12346,2011-01-18 10:01:00,1,77183.60,347
12347,2011-12-07 15:52:00,7,4310.00,24
12348,2011-09-25 13:13:00,4,1744.44,97
12349,2011-11-21 09:51:00,1,1757.55,40
12350,2011-02-02 16:01:00,1,334.40,332
12352,2011-11-03 14:37:00,8,1849.49,58
12353,2011-05-19 17:47:00,1,89.00,226
12354,2011-04-21 13:11:00,1,1079.40,254
12355,2011-05-09 13:49:00,1,459.40,236
12356,2011-11-17 08:40:00,3,2811.43,44
12357,2011-11-06 16:07:00,1,6207.67,55
12358,2011-12-08 10:26:00,2,1168.06,23
12359,2011-10-13 12:47:00,4,6182.53,79
12360,2011-10-18 15:22:00,3,2662.06,74
12361,2011-02-25 13:51:00,1,189.90,309
12362,2011-12-06 15:40:00,10,5226.23,25
12363,2011-08-22 10:18:00,2,552.00,131
12364,2011-12-02 10:22:00,4,1313.10,29
12365,2011-02-21 14:04:00,2,641.38,313
12367,2011-12-05 16:48:00,1,168.90,26
12370,2011-10-19 14:51:00,4,3541.94,73
12371,2011-10-26 10:16:00,2,1887.96,66
12372,2011-09-29 12:12:00,3,1298.04,93
12373,2011-02-01 13:10:00,1,364.60,333
12374,2011-11-14 15:37:00,1,742.93,47
12375,2011-11-29 10:36:00,2,457.50,32
12377,2011-01-28 15:45:00,2,1628.12,337
12378,2011-08-02 10:34:00,1,4008.62,151
12379,2011-09-19 10:09:00,2,852.24,103
12380,2011-11-18 11:27:00,4,2724.81,43
12381,2011-12-05 12:44:00,5,1845.31,26
12383,2011-06-08 08:02:00,5,1850.56,206
12384,2011-11-11 08:39:00,2,585.27,50
12386,2011-01-06 12:37:00,2,401.90,359
12388,2011-11-24 12:30:00,6,2780.66,37
12390,2011-09-21 09:33:00,1,549.84,101
12391,2011-11-18 12:07:00,1,438.41,43
12393,2011-09-28 15:41:00,4,1566.00,94
12394,2011-10-07 08:08:00,2,1272.48,85
12395,2011-11-20 15:21:00,12,3018.63,41
12397,2011-11-04 09:52:00,2,2409.90,57
