customerid,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
17925,394,1,244.08,1,1,1,111,Needs Attention
16754,394,1,2002.40,1,1,4,114,Needs Attention
18011,395,1,102.79,1,2,1,121,Needs Attention
15350,395,1,115.65,1,2,1,121,Needs Attention
14142,395,1,311.81,1,2,2,122,Needs Attention
13065,395,1,205.86,1,1,1,111,Needs Attention
17968,395,1,238.50,1,1,1,111,Needs Attention
15165,395,1,487.75,1,1,3,113,Needs Attention
18074,395,1,489.60,1,1,3,113,Needs Attention
17643,395,1,101.55,1,2,1,121,Needs Attention
16274,395,1,350.50,1,2,2,122,Needs Attention
15922,395,1,369.50,1,2,2,122,Needs Attention
13747,395,1,79.60,1,1,1,111,Needs Attention
14729,395,1,304.19,1,2,2,122,Needs Attention
16583,395,1,233.45,1,1,1,111,Needs Attention
17908,395,1,204.53,1,1,1,111,Needs Attention
14237,395,1,161.00,1,1,1,111,Needs Attention
16048,395,2,256.44,1,2,2,122,Needs Attention
12791,395,1,192.60,1,1,1,111,Needs Attention
12662,22,11,3849.78,5,5,5,555,Champions
16705,22,20,14034.99,5,5,5,555,Champions
16558,22,20,8338.49,5,5,5,555,Champions
15694,22,14,6479.40,5,5,5,555,Champions
12985,22,2,1239.38,5,3,4,534,Loyal Customers
,22,1428,1755276.64,5,5,5,555,Champions
12748,22,209,32397.40,5,5,5,555,Champions
12423,22,8,1859.31,5,5,4,554,Champions
14446,22,4,954.95,5,4,4,544,Champions
12433,22,7,13375.87,5,5,5,555,Champions
14051,22,23,15592.69,5,5,5,555,Champions
13113,22,24,12245.96,5,5,5,555,Champions
13069,22,24,4409.30,5,5,5,555,Champions
18102,22,60,259657.30,5,5,5,555,Champions
17754,22,5,1591.12,5,4,4,544,Champions
17581,22,25,11025.24,5,5,5,555,Champions
15311,22,91,60595.78,5,5,5,555,Champions
12713,22,1,848.55,5,1,3,513,Needs Attention
17428,22,28,17256.85,5,5,5,555,Champions
13426,22,10,3641.32,5,5,5,555,Champions
17490,22,7,2092.32,5,5,5,555,Champions
17364,22,11,4454.67,5,5,5,555,Champions
14422,22,6,4263.64,5,5,5,555,Champions
15910,22,8,1206.07,5,5,4,554,Champions
16626,22,17,4413.10,5,5,5,555,Champions
17389,22,34,31833.68,5,5,5,555,Champions
16446,22,2,168472.50,5,3,5,535,Loyal Customers
12518,22,5,2056.89,5,4,5,545,Champions
16954,22,9,2085.08,5,5,5,555,Champions
17001,22,11,3989.57,5,5,5,555,Champions
12680,22,4,880.81,5,4,3,543,Loyal Customers
14441,22,4,1712.89,5,4,4,544,Champions
13777,22,33,25977.16,5,5,5,555,Champions
15804,22,13,4206.39,5,5,5,555,Champions
15344,22,3,563.94,5,4,3,543,Loyal Customers
12526,22,3,1316.66,5,3,4,534,Loyal Customers
17554,23,5,1943.95,5,4,4,544,Champions
17491,23,10,3558.87,5,5,5,555,Champions
17530,23,10,2321.08,5,5,5,555,Champions
14138,23,2,965.88,5,3,4,534,Loyal Customers
14520,23,2,270.60,5,2,2,522,Potential
12955,23,11,4757.16,5,5,5,555,Champions
16442,23,3,597.34,5,4,3,543,Loyal Customers
17675,23,31,20374.28,5,5,5,555,Champions
14129,23,5,1123.86,5,4,4,544,Champions
15208,23,5,870.12,5,4,3,543,Loyal Customers
15189,23,41,16225.39,5,5,5,555,Champions
14621,23,5,1788.36,5,4,4,544,Champions
14698,23,5,1160.97,5,4,4,544,Champions
14291,23,11,3883.25,5,5,5,555,Champions
13890,23,10,1883.81,5,5,4,554,Champions
14911,23,201,143711.17,5,5,5,555,Champions
16794,23,10,1179.50,5,5,4,554,Champions
17644,23,11,2895.64,5,5,5,555,Champions
17757,23,30,5572.94,5,5,5,555,Champions
17677,23,30,16345.38,5,5,5,555,Champions
15159,23,30,18641.01,5,5,5,555,Champions
13510,23,4,1791.56,5,4,4,544,Champions
13026,23,5,975.36,5,4,4,544,Champions
13098,23,28,28882.44,5,5,5,555,Champions
15399,23,3,815.77,5,3,3,533,Loyal Customers
18109,23,26,7956.92,5,5,5,555,Champions
17243,23,26,8499.35,5,5,5,555,Champions
14653,23,7,1924.99,5,5,4,554,Champions
15877,23,2,488.68,5,3,3,533,Loyal Customers
13102,23,24,6424.09,5,5,5,555,Champions
14056,23,23,8075.97,5,5,5,555,Champions
15453,23,7,1333.43,5,5,4,554,Champions
13263,23,35,7398.03,5,5,5,555,Champions
15156,23,3,961.49,5,4,4,544,Champions
16358,23,4,2027.50,5,4,4,544,Champions
13599,23,21,5148.47,5,5,5,555,Champions
16523,23,21,9418.47,5,5,5,555,Champions
12621,23,20,13689.67,5,5,5,555,Champions
13436,23,1,196.89,5,1,1,511,Needs Attention
16161,23,19,5527.37,5,5,5,555,Champions
15443,23,7,3081.62,5,5,5,555,Champions
13471,23,4,2428.70,5,4,5,545,Champions
13924,23,6,1838.85,5,5,4,554,Champions
17631,23,3,528.33,5,3,3,533,Loyal Customers
16210,23,18,21086.30,5,5,5,555,Champions
13536,23,7,3434.43,5,5,5,555,Champions
12437,23,18,4951.41,5,5,5,555,Champions
14569,23,1,218.14,5,1,1,511,Needs Attention
14796,23,17,7801.34,5,5,5,555,Champions
17830,23,3,398.70,5,3,2,532,Potential
18210,23,6,2621.38,5,5,5,555,Champions
14702,23,17,3251.79,5,5,5,555,Champions
17315,23,38,6098.47,5,5,5,555,Champions
14217,23,17,2004.98,5,5,4,554,Champions
16933,23,2,558.28,5,3,3,533,Loyal Customers
15187,23,16,4777.18,5,5,5,555,Champions
13798,23,57,36763.85,5,5,5,555,Champions
13468,23,37,5704.97,5,5,5,555,Champions
14606,23,93,12037.81,5,5,5,555,Champions
16833,23,4,1106.53,5,4,4,544,Champions
14135,23,15,4690.31,5,5,5,555,Champions
17436,23,2,216.30,5,2,1,521,Needs Attention
15484,23,4,3590.41,5,4,5,545,Champions
13680,23,4,3714.87,5,4,5,545,Champions
13314,23,3,770.99,5,3,3,533,Loyal Customers
17673,23,6,1584.69,5,5,4,554,Champions
17451,23,7,1721.40,5,5,4,554,Champions
15214,23,8,1661.44,5,5,4,554,Champions
14730,23,8,1838.42,5,5,4,554,Champions
13860,23,5,1245.90,5,4,4,544,Champions
13269,23,15,5339.98,5,5,5,555,Champions
13298,23,1,360.00,5,2,2,522,Potential
17405,23,3,1031.41,5,4,4,544,Champions
13394,23,8,2520.02,5,5,5,555,Champions
15796,23,8,2706.91,5,5,5,555,Champions
13318,23,3,640.76,5,3,3,533,Loyal Customers
13408,23,62,28117.04,5,5,5,555,Champions
17856,23,4,1418.03,5,4,4,544,Champions
17668,23,2,347.75,5,2,2,522,Potential
14415,23,13,5825.53,5,5,5,555,Champions
17528,23,8,3622.06,5,5,5,555,Champions
13013,23,13,4810.94,5,5,5,555,Champions
17841,23,124,39309.07,5,5,5,555,Champions
12358,23,2,1168.06,5,3,4,534,Loyal Customers
14646,23,73,280206.02,5,5,5,555,Champions
14191,23,13,4684.76,5,5,5,555,Champions
15898,23,5,1353.48,5,4,4,544,Champions
16892,23,5,518.19,5,4,3,543,Loyal Customers
13077,23,4,728.02,5,4,3,543,Loyal Customers
15237,23,4,1412.32,5,4,4,544,Champions
13404,23,2,252.49,5,2,2,522,Potential
17949,23,45,58440.88,5,5,5,555,Champions
17522,23,5,1048.91,5,4,4,544,Champions
13521,23,3,1057.94,5,4,4,544,Champions
16401,23,12,4096.67,5,5,5,555,Champions
16688,23,4,1260.86,5,4,4,544,Champions
17144,23,2,984.57,5,3,4,534,Loyal Customers
16891,23,5,730.41,5,4,3,543,Loyal Customers
14719,23,5,1533.19,5,4,4,544,Champions
14251,23,5,2879.70,5,4,5,545,Champions
16322,23,2,321.70,5,2,2,522,Potential
